Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Approval),Outward issue link (Approval),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Enable useSortedAttributes,STAC-24026,49683,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 2:10 PM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,0,,,,,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4db9345,,,,,"{repository={count=19, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":19,""lastUpdated"":""2025-12-04T19:45:17.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":19,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02ve7:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 13:17:37.822,10107_*:*_1_*:*_1565890_*|*_3_*:*_1_*:*_1792_*|*_10400_*:*_1_*:*_3092751596_*|*_10401_*:*_1_*:*_0,,02/Dec/25 2:17 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9373] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24026-enable-use-sorted-attributes|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24026-enable-use-sorted-attributes]:{quote}STAC-24026 Enable `useSortedAttributes`{quote},,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Enable organizeImports,STAC-24025,49681,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 1:56 PM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,0,,,,,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11581f19,,,,,"{repository={count=17, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":17,""lastUpdated"":""2025-12-04T19:45:17.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":17,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vdz:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 13:06:05.709,10107_*:*_1_*:*_2426309_*|*_3_*:*_1_*:*_1620_*|*_10400_*:*_1_*:*_3092755874_*|*_10401_*:*_1_*:*_0,,02/Dec/25 2:06 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9372] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24025-enable-organize-imports|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24025-enable-organize-imports]:{quote}STAC-24025 Enable `organizeImports`{quote},,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Replace spaces by tabs,STAC-24024,49679,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 9:42 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,0,,,,,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1bdafd72,,,,,"{repository={count=18, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":18,""lastUpdated"":""2026-01-14T09:28:22.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":18,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vdr:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 12:54:55.131,10107_*:*_1_*:*_17641662_*|*_3_*:*_1_*:*_2600_*|*_10400_*:*_1_*:*_3092759491_*|*_10401_*:*_1_*:*_0,,02/Dec/25 1:54 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9371] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24024-spaces-to-tabs|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24024-spaces-to-tabs]:{quote}STAC-24024 Spaces to tabs{quote},,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Support disabled saved searches,STAC-24023,49645,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,01/Dec/25 2:26 PM,07/Jan/26 3:55 PM,,07/Jan/26 3:55 PM,,,0,,,"Disabling a saved search lists it in the saved search list but does not execute it. This breaks execution on rabobank, we should not execute disabled saved searches.

* Docs were not conclusive whether this field is included in rest api, we’ll figure it out
* See whether there are other fields returned by splunk that might make us want to not included a search 
* Properly log when we are excluding a search due to it being enabled
* Validate whether we retrieve the list of searches on  every run, to be sure we detect when disabled/enabled toggles.
* Put a release note
* Notify rabobank",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b5566d0,,,,RaboBank,"{repository={count=4, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":4,""lastUpdated"":""2026-01-07T15:46:41.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":4,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6qz:009cdsxt2a8y9028zyyxun66btzmn8,,,,,,[Agent] Disabled saved searches in splunk will now be ignored by the splunk check.,,,,https://jira.suse.com/browse/SURE-11000,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,5.0,,,,,,,,,,,10107_*:*_1_*:*_3097187749_*|*_3_*:*_1_*:*_87567377_*|*_10408_*:*_1_*:*_1210_*|*_10400_*:*_1_*:*_17290906_*|*_10401_*:*_1_*:*_0,,,,,,,Done,07/Jan/26 3:55 PM
Run Biome in CI,STAC-24019,49639,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:59 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,0,,,"Ensure Biome is configured properly in our CI - it is well documented in [the official website|https://biomejs.dev/recipes/continuous-integration/]

h2. Acceptance criteria

# make sure it reports/fails when
## lint fails
## format fails
## assist fails",,Anton Ovechkin,,,61d2f4ebce3652006aaa23ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c87af9,,,,,{},,,,,,,,,,,,,,,,A,1|i02vcn:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_103031524_*|*_3_*:*_1_*:*_1941_*|*_10400_*:*_1_*:*_3092766197_*|*_10401_*:*_1_*:*_0,,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Replace Eslint by Biome linter,STAC-24018,49637,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:55 AM,07/Jan/26 9:33 AM,,,,,0,,,"The idea is to have ALL Biome .linter.rules groups as {{error}} so and override rules in for the following cases *with a commend* explaining the reason WHY it is adjusted:

# opt-out from rule we do not want to use at all
# explicitly lower severity, handy for autofixable things, or just minor violations that are alright to have around, or as a temporary workaround if it requires refinement and planning for big code changes to satisfy the rule
# custom rule configurations, as for some rules they only work properly when configured

{code:json}{
  ""linter"": {
    ""enabled"": true,
    ""rules"": {
      ""a11y"": ""error"",
      ""complexity"": ""error"",
      ""correctness"": ""error"",
      ""performance"": ""error"",
      ""nursery"": ""error"",
      ""style"": ""error"",
      ""security"": ""error"",
      ""suspicious"": ""error""
    }
  }
}{code}

h2. Acceptance criteria

# All autofixable changes are applied, *DO NOT* edit code manually
# {{biome check}} passes, *DO* add subtasks and lover severity for rules requiring code changes",,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d81433e,,,,,"{repository={count=100, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":100,""lastUpdated"":""2026-01-14T09:28:42.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":100,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vcf:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-04 19:24:20.935,,,04/Dec/25 8:24 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9377] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24018-eslint-to-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24018-eslint-to-biome]:{quote}Draft: STAC-24018 ESLint to Biome{quote},,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,In Progress,07/Jan/26 9:33 AM
Replace Prettier by Biome assist+formatter,STAC-24017,49635,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:52 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,0,,,"It is a perfect opportunity to refine formatting rules: trailing comas, semicolons, lineWdith, etc. 

h2. Acceptance criteria

* formatting is applied, no manual changes
* prettier config files are gone
* tabs are TABS (not spaces) so they can be configured individually",,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39c85f83,,,,,"{repository={count=29, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":29,""lastUpdated"":""2025-12-04T19:35:51.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":29,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vc7:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-01 15:02:14.214,10107_*:*_1_*:*_103430383_*|*_3_*:*_1_*:*_2407_*|*_10400_*:*_1_*:*_3092774335_*|*_10401_*:*_1_*:*_0,,01/Dec/25 4:02 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9367] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24017-prettier-to-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24017-prettier-to-biome]:{quote}STAC-24017 Replace `Prettier` by `Biome`{quote},02/Dec/25 11:22 AM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9369] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-0-brake-format|https://gitlab.com/stackvista/stackstate/-/tree/STAC-0-brake-format]:{quote}Draft: STAC-24017 Introduce formatting issue{quote},49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Migrate from Prettier+ESLint to Biome,STAC-24016,49633,Technical Debt,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:37 AM,07/Jan/26 9:33 AM,,,,,0,dx,,,,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@482b472b,,,,,"{repository={count=6, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":6,""lastUpdated"":""2025-12-10T11:45:08.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":6,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vbz:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-01 15:16:41.149,,,"01/Dec/25 11:59 AM;61d2f4ebce3652006aaa23ca;Report case 



{noformat}const getComponentForChartType = (type: TimeSeriesChartType) => {
  return {
    line: LineChart,
    bar: BarChart,
  }[type];
};{noformat}

formatted as


{noformat}const getComponentForChartType = (type: TimeSeriesChartType) => {
    line: LineChart,
    bar: BarChart,
  }[type];{noformat}",01/Dec/25 4:16 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9368] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24016-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24016-biome]:{quote}Draft: STAC-24016 Replace Prettier+ESLint by Biome{quote},,,,In Progress,07/Jan/26 9:30 AM
[Dashboards] Gauge widget text size when zooming out in browser,STAC-24012,49595,Bug,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,28/Nov/25 4:22 PM,13/Jan/26 1:40 PM,,13/Jan/26 1:40 PM,,,0,,,"!image-20251128-152241.png|width=509,alt=""image-20251128-152241.png""!

See second widget across, the text size looks larger than it probably should be. This was when, during a demo, the page was zoomed from 100% to 90%",,Release StackState,Samuel Jones,,5f0c19c95ee2c3002363e486,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Nov/25 4:23 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251128-152241.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26365,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a8e50d9,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,"{repository={count=10, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":10,""lastUpdated"":""2026-01-13T13:40:22.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":10,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vwk:x,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-12 11:16:05.569,10107_*:*_1_*:*_3548576111_*|*_3_*:*_1_*:*_325683579_*|*_10400_*:*_1_*:*_16759925_*|*_10401_*:*_1_*:*_0,,12/Jan/26 12:16 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9432] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24012-fix-gauge-widget-text-size|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24012-fix-gauge-widget-text-size]:{quote}STAC-24012 Update gauge font size calculation{quote},,38662,STAC-22375,Dashboards as 1st class citizen,Done,13/Jan/26 1:40 PM
[Dashboards] Stat charts within the same widget should have same text sizes,STAC-24009,49592,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,28/Nov/25 3:38 PM,09/Jan/26 12:25 PM,,09/Jan/26 12:25 PM,,,0,,,"!image-20251128-144022.png|width=720,alt=""image-20251128-144022.png""!

The stats (on the most left) widget should always use the same font size for both label and value, similar to grafana

!image-20251128-144120.png|width=1090,alt=""image-20251128-144120.png""!",,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Nov/25 3:41 PM;ug:07e0acc9-abd6-43d9-9701-35b440909661;image-20251128-144022.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26364,28/Nov/25 3:41 PM;ug:07e0acc9-abd6-43d9-9701-35b440909661;image-20251128-144120.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/26363,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba0df1d,,,,,"{repository={count=6, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":6,""lastUpdated"":""2026-01-09T12:23:14.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":6,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vwk:v,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,2.0,,,,,,,,,,2026-01-08 16:53:51.692,10107_*:*_1_*:*_3524565714_*|*_3_*:*_1_*:*_26576281_*|*_10400_*:*_1_*:*_65965929_*|*_10401_*:*_1_*:*_0,,08/Jan/26 5:53 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9426] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24009-fix-stat-widget-text-size|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24009-fix-stat-widget-text-size]:{quote}STAC-24009 Align font sizes for all charts in dashboard Stat widget{quote},,38662,STAC-22375,Dashboards as 1st class citizen,Done,09/Jan/26 12:25 PM
Init container for otel-collector to wait for Kafka,STAC-24008,49590,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,28/Nov/25 2:26 PM,13/Jan/26 11:29 AM,,13/Jan/26 11:29 AM,,,0,,,"When installing SUSE Observability from scratch it can happen that Kafka is late to startup. In the mean time the OTel collector has restarted already 6 times. To avoid confusing users with this seemingly buggy behavior we should add an init container to the otel collector that waits for its dependencies to have started:

* Kafka
* ClickHouse
* vmagent",,Remco Beckers,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28e2098d,,,,,"{repository={count=8, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":8,""lastUpdated"":""2026-01-12T16:08:05.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":8,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:zyi,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,Borg,,,3.0,,,,,,,,,,,10107_*:*_1_*:*_3634420818_*|*_3_*:*_1_*:*_258328824_*|*_10400_*:*_1_*:*_1349525_*|*_10401_*:*_1_*:*_0,,,,43083,STAC-22861,Stackpacks 2.0 otel,Done,13/Jan/26 11:29 AM
[Dashboards] Quick selection for only my dashboards or only shared dashboards,STAC-24001,49547,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Done,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,27/Nov/25 9:24 AM,07/Jan/26 9:38 AM,,07/Jan/26 9:38 AM,,,0,,,"In the dashboard overview, I want to quickly select only my own dashboards (public or private) or the dashboards that are shared with me. 

*Acceptance criteria*

* Add a quick filter (like the {{All dashboards}} and {{Starred dashboards}} filters) to select {{My dashboards}}
* Add a quick filter for {{Shared with me}}
* Re-order the filters and select “My dashboards” by default: {{My Dashboards | Starred | Shared with me | All}} → To view only starred dashboards a user can open the main menu already
* Each filter includes the word {{dashboard}}. That makes the text very long and feels rather redundant. Only for {{My dashboards}} it feels like it is required. What do you think?",,Release StackState,Remco Beckers,,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5853d554,,,,,"{repository={count=7, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":7,""lastUpdated"":""2026-01-09T07:42:44.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":7,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vsl:i,,,,,,,,,,,,,,Dashboards release?,Wrapping up dashboarding,,,,,,,Borg,,,3.0,,,,,,,,,,2025-12-23 12:18:02.257,10107_*:*_1_*:*_2189693377_*|*_3_*:*_1_*:*_1186722101_*|*_10400_*:*_1_*:*_166331510_*|*_10401_*:*_1_*:*_0,,23/Dec/25 1:18 PM;5f0c19c95ee2c3002363e486;[Sam Jones|https://gitlab.com/sdjnes] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9410] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24001-dashboard-overview-tabs|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24001-dashboard-overview-tabs]:{quote}STAC-24001 Add new filter tabs to dashboards overview page{quote},,38662,STAC-22375,Dashboards as 1st class citizen,Done,07/Jan/26 9:38 AM
