Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Approval),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Create dashboard from k8s resources,STAC-24110,50098,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,24/Dec/25 9:02 AM,26/Dec/25 12:59 PM,,26/Dec/25 12:59 PM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@274dde4c,,,,,{},,,,,,,,,,,,,,,,A,1|i02vu7:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_1763508_*|*_3_*:*_1_*:*_0,,26/Dec/25 12:59 PM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;added test script to create dashboard from k8s resources,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,26/Dec/25 12:59 PM
Upgrade Kops clusters to 1.32,STAC-24109,50096,User Story,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,24/Dec/25 8:46 AM,06/Jan/26 9:21 AM,,06/Jan/26 9:21 AM,,,,0,,,"AC:

* Verify for any K8s API deprecations and adjust the resources if needed.
* Check the KOPS changelog for breaking changes
* Upgrade the sandbox-main cluster to 1.32
* Thoroughly check the sandbox-main cluster resources for any upgrade issues.
* All pods are in running state and ready to serve traffic.
** Use Prometheus Alerts
** Use Stackstate monitors (nightly)
* Plan, schedule, and upgrade the rest of the Kops clusters:
* Build a new Devops image with KOPS 1.32.x and older versions removed
* Be aware: Karpenter settings are Kubernetes version dependent",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@663639f2,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2025-12-29T11:37:42.390+0100"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vtz:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_8922386_*|*_10007_*:*_1_*:*_1561_*|*_3_*:*_1_*:*_507619225_*|*_10004_*:*_1_*:*_1180715_*|*_10400_*:*_1_*:*_2208_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,06/Jan/26 9:21 AM
Refactor Automation Framework to support Multi-Environment Configuration,STAC-24108,50063,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,23/Dec/25 8:52 AM,24/Dec/25 8:59 AM,,24/Dec/25 8:59 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@791b2cd2,,,,,{},,,,,,,,,,,,,,,,A,1|i02vtr:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_6416_*|*_3_*:*_1_*:*_0,,"24/Dec/25 8:59 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;refactor the script to run on play and master environment, hence closing task",,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,24/Dec/25 8:59 AM
Mapping qase test ID with test scripts,STAC-24107,50061,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,23/Dec/25 8:41 AM,24/Dec/25 9:00 AM,,24/Dec/25 9:00 AM,,,,0,,,mapping dashboard test scripts with qase test ID’s,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74479980,,,,,{},,,,,,,,,,,,,,,,A,1|i02vtj:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_66617_*|*_3_*:*_1_*:*_0,,"24/Dec/25 9:00 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;mapped the qase ID's with test scripts , hence closing ticket",,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,24/Dec/25 9:00 AM
OpenAPI Generation on Stackstate-cli is broken,STAC-24106,50059,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,22/Dec/25 1:50 PM,06/Jan/26 10:10 AM,,06/Jan/26 10:10 AM,,,,0,,,"After an [upgrade of the openapi-generator|https://github.com/StackVista/stackstate-cli/commit/e06b5524cfb1a670858b93aef6165e5a90bf2f74#diff-206b9ce276ab5971a2489d75eb1b12999d4bf3843b7988cbe8d687cfde61dea0R7] to version 7.6.0 the generated code is missing some enums (at least {{IdentifierType}} is missing, from the combined {{openapi.yaml}} file that gets generated and from the Golang code). We used to be on the 6.x versions.

Also some other breaking changes require code updates (e.g. {{Api}} suffix got changed to {{API}}). 

See also this Slack thread: [https://suse.slack.com/archives/C07B56FCWJE/p1766156548608679|https://suse.slack.com/archives/C07B56FCWJE/p1766156548608679|smart-link] 

This prevents us from making any significant changes to the cli.

*Acceptance criteria*

* Fix the OpenAPI code generation:
** The missing enum(s): Is this a bug in the generator? This code used to generate fine and our openapi spec didn’t change and has other occurences of similar enums (enum used in query parameter in this case)
** The Api->API rename
** Any other breaking changes in 7.x?
* Let’s also upgrade to the latest version (7.17 at the moment) if possible. 7.7 is already old again.",,Remco Beckers,,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c9182cb,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6qz:009cdsxt2a8y9028zyyxun66btzmn4,,,,,,,,,,,,,,Marvin - AgentBump 3,,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_1281353153_*|*_3_*:*_1_*:*_3187_*|*_10004_*:*_1_*:*_3691_*|*_10400_*:*_1_*:*_1467289_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,06/Jan/26 10:10 AM
PV(C) usage metrics have multiple timeseries in the charts,STAC-24102,50021,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,18/Dec/25 12:14 PM,05/Jan/26 12:12 PM,,19/Dec/25 10:01 AM,,,,0,,,"_Actual behavior_:

PV(C) usage metrics have multiple timeseries in the charts because the volume is used on different hosts. 

_Expected behavior_:

Only 1 usage and 1 capacity line is present (also in the legend). The data is still about the same PVC, so it should be aggregated per PVC instead (the {{sts_host}} label should be ignored)

_Steps to reproduce_:

_Technical note_:",,Remco Beckers,,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60ddb706,,,,,"{repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2025-12-18T12:21:30.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":2,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vsf:,,,,,,Improved PV and PVC metric charts to only show a single timeseries for usage and capacity.,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_5765_*|*_3_*:*_1_*:*_184376_*|*_10400_*:*_1_*:*_74524647_*|*_10401_*:*_1_*:*_0,,,,,,,,,Done,19/Dec/25 10:01 AM
YAML parsing (during import or stackpack install) fails when field only has `${value}` as value,STAC-24098,50015,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,18/Dec/25 10:29 AM,05/Jan/26 12:12 PM,,18/Dec/25 10:31 AM,,,,0,,,"_Actual behavior_:

Yaml like this doesn’t parse (fails stackpack installation):

{noformat}...
  alias: ${value}
...{noformat}

_Expected behavior_:

Yaml does parse and stackpack can be installed

_Steps to reproduce_:



_Technical note_:",,Remco Beckers,,,,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f389f0d,,,,,{},,,,,,,,,,,,,,,,A,1|i02vrr:,,,,,,"Fix YAML parsing when a YAML value is a variable reference, for example `alias: ${cluster-name}`.",,,,,,,,Dashboards release?,,,,,,,,Borg,,,1.0,,,,,,,,,,,10107_*:*_1_*:*_6331_*|*_3_*:*_1_*:*_2088_*|*_10400_*:*_1_*:*_6082_*|*_10401_*:*_1_*:*_0,,18/Dec/25 10:29 AM;557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa;Fixed as part of STAC-23449,,,,,,,Done,18/Dec/25 10:31 AM
Deploy the stackpacks2 documentation from trunk,STAC-24095,50011,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,akash.raj,712020:6ecb03b8-e16f-4d92-a6b7-260c913ae4ac,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,17/Dec/25 10:03 AM,06/Jan/26 12:07 PM,,,,,,0,,,"We want to deploy the stackpacks documentation, which will be developed under a feature flag, to a stable netlify-based deployment such that we can shared the link with early access customers.

We would like the early-access preview to be based on the main branch (trunk) with the feature flag enabled.

Current netlify links are based on PR number: [+https://deploy-preview-141--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/]+,+ this should not change. But in addition to the current setup we would like [+https://deploy-preview-stackpacks--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/]  which is deployed from the main branch with the feature flag enabled.

* Make sure the netlify is updated new commits get added to the main branch

When the feature is released we will (not part of this story, but future plan):

* Remove the feature flag, enabling the feature documentation in our main docs
* Decommision the [+https://deploy-preview-stackpacks--suse-obs.netlify.app+|https://deploy-preview-141--suse-obs.netlify.app/] deployment.",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27eb9b4d,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6gf:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,,,,,,,49945,STAC-24075,Document Stackpacks 2.0,In Progress,06/Jan/26 8:19 AM
Creating Test scripts for Markdown widget,STAC-24094,50009,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,,,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:57 AM,23/Dec/25 8:40 AM,,23/Dec/25 8:40 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6da9e1bd,,,,,{},,,,,,,,,,,,,,,,A,1|i02vr3:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_513754721_*|*_6_*:*_1_*:*_0,,23/Dec/25 8:40 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Added script for Markdown widget,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,23/Dec/25 8:40 AM
Creating Test scripts for StatChart,STAC-24093,50007,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,,,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:57 AM,23/Dec/25 8:40 AM,,23/Dec/25 8:40 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6484317a,,,,,{},,,,,,,,,,,,,,,,A,1|i02vqv:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_513752247_*|*_6_*:*_1_*:*_0,,23/Dec/25 8:40 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Added script to add StatChart,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,23/Dec/25 8:40 AM
Creating Test scripts for Bar Chart,STAC-24092,50005,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:56 AM,23/Dec/25 8:39 AM,,23/Dec/25 8:39 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c864329,,,,,{},,,,,,,,,,,,,,,,A,1|i02vqn:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_426004712_*|*_3_*:*_1_*:*_0,,23/Dec/25 8:39 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Added test script add bar widget,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,23/Dec/25 8:39 AM
Creating Test scripts for GaugeChart,STAC-24091,50003,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,,,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:55 AM,23/Dec/25 8:39 AM,,23/Dec/25 8:39 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38125ac6,,,,,{},,,,,,,,,,,,,,,,A,1|i02vqf:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_513887131_*|*_6_*:*_1_*:*_0,,23/Dec/25 8:39 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Added script to add GaugeChart,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,23/Dec/25 8:39 AM
Create Test script for Time seriesChart,STAC-24090,50001,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:54 AM,22/Dec/25 8:16 AM,,22/Dec/25 8:16 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e6a8346,,,,,{},,,,,,,,,,,,,,,,A,1|i02vq7:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_67139399_*|*_3_*:*_1_*:*_0,,22/Dec/25 8:16 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Created test script to create time script chart and refactor the code as per framework hence closing task,,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,22/Dec/25 8:16 AM
Creating Test scripts for Creating Dashboard,STAC-24089,49999,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,17/Dec/25 9:53 AM,18/Dec/25 4:33 AM,,18/Dec/25 4:33 AM,,,,0,,,,,rajukumar.macha,,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b6e95d0,,,,,{},,,,,,,,,,,,,,,,A,1|i02vpz:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_6449_*|*_3_*:*_1_*:*_0,,"18/Dec/25 4:33 AM;712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60;Added scripts for create the dashboard and with different options like UI , starred, public private",,,,49876,STAC-24050,Adding Dashboard tests into UI automation framework,Done,18/Dec/25 4:33 AM
Investigate whether coming Lets Encrypt changes affect our environment,STAC-24087,49996,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Critical,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,16/Dec/25 11:57 AM,19/Dec/25 9:14 AM,,19/Dec/25 9:14 AM,,,,0,,,[https://community.letsencrypt.org/t/upcoming-changes-to-let-s-encrypt-certificates/243873|https://community.letsencrypt.org/t/upcoming-changes-to-let-s-encrypt-certificates/243873|smart-link] ,,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2fcb7970,,,,,{},,,,,,,,,,,,,,,,A,1|i02vhv:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_249319930_*|*_3_*:*_1_*:*_2024_*|*_10400_*:*_1_*:*_2497_*|*_10401_*:*_1_*:*_0,,19/Dec/25 9:14 AM;61b198bc744c4d006987cf03;The upcoming changes don’t affect us: we don’t use custom profiles or TLS authentication.,,,,,,,Done,19/Dec/25 9:14 AM
Adding scenarios for Metric Inspector,STAC-24084,49991,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,15/Dec/25 2:13 PM,05/Jan/26 5:38 PM,,,,,,0,,,,,daniel.barra,,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b01f320,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-06T19:59:49.359+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vov:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,,,,,,,49983,STAC-24080,[QA] Add scenarios to validate UI by playwright,In Progress,05/Jan/26 5:38 PM
Adding scenarios for Monitors,STAC-24083,49989,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,daniel.barra,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,15/Dec/25 2:12 PM,05/Jan/26 6:24 PM,,05/Jan/26 6:24 PM,,,,0,,,,,daniel.barra,,,,712020:f4589f06-9db5-485b-af7b-3002e0842d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e7b5a22,,,,,"{repository={count=12, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":12,""lastUpdated"":""2026-01-05T18:23:57.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":12,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02von:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_363837159_*|*_3_*:*_1_*:*_1462923549_*|*_10400_*:*_1_*:*_0,,,,,,49983,STAC-24080,[QA] Add scenarios to validate UI by playwright,Done,05/Jan/26 6:24 PM
